hour_lst,model,nll,rps,brier,mae_median,exact_hit,cov50,cov90,width90,n
-2,nbm,2.343703916083693,1.3078089935470218,0.8641856289784446,1.7718446601941749,0.21159337521416333,0.614791547687036,0.8946316390633924,7.5499714448886355,3502.0
-2,persistence,2.273185473501303,1.3182330283221235,0.8647541493406905,1.7718446601941749,0.21159337521416333,0.6844660194174758,0.9294688749286122,9.0,3502.0
-2,residual_hist,2.273185473501303,1.3182330283221235,0.8647541493406905,1.7718446601941749,0.21159337521416333,0.6844660194174758,0.9294688749286122,9.0,3502.0
-1,model,2.142518974418691,1.1740620191158404,0.8471899402195544,1.6442033123929183,0.22015990862364362,0.6593375214163335,0.9348943460879497,7.734151913192462,3502.0
-1,nbm,2.342691999056967,1.3048995405961494,0.8642001227611091,1.7681324957167333,0.21102227298686466,0.6170759565962307,0.8946316390633924,7.545402627070246,3502.0
-1,persistence,2.270644270088921,1.315027258362792,0.8645574747160167,1.7681324957167333,0.21102227298686466,0.6853226727584237,0.9297544260422616,9.0,3502.0
-1,residual_hist,2.270644270088921,1.315027258362792,0.8645574747160167,1.7681324957167333,0.21102227298686466,0.6853226727584237,0.9297544260422616,9.0,3502.0
0,model,2.1381006029304594,1.1700046314210344,0.8468700409103586,1.6424900057110223,0.22015990862364362,0.6613363792118789,0.9348943460879497,7.706167904054825,3502.0
0,nbm,2.345906815600965,1.3025996196881473,0.8651647121346668,1.7627070245573957,0.21159337521416333,0.6145059965733867,0.8920616790405482,7.490005711022273,3502.0
0,persistence,2.2708664270386536,1.3159574349895227,0.8642466480253097,1.772130211307824,0.211307824100514,0.6850371216447744,0.9297544260422616,9.033123929183324,3502.0
0,residual_hist,2.268728957598131,1.3129571915943214,0.8639759600659962,1.7644203312392919,0.21159337521416333,0.6856082238720731,0.9291833238149628,9.0,3502.0
1,model,2.0704703002928677,1.0926663656701059,0.8393924025277739,1.5348372358652198,0.23101085094231869,0.6627641347801256,0.9380354083380925,7.333238149628784,3502.0
1,nbm,2.2572937252299297,1.2163349814600024,0.8665055950891823,1.6541976013706454,0.21844660194174756,0.6219303255282695,0.9000571102227298,7.283266704740148,3502.0
1,persistence,3.4197317171235007,3.859720766474237,1.0274196390460664,5.5653912050256995,0.06482010279840092,0.5913763563677898,0.9206167904054826,21.768418046830384,3502.0
1,residual_hist,2.5465285374988382,1.8512161925481814,0.8942266550191748,2.4597372929754426,0.17418617932609937,0.5271273557966876,0.9086236436322102,12.0,3502.0
2,model,2.0568126819341788,1.0800592147179202,0.8361217773865208,1.5159908623643632,0.23358081096516276,0.665619645916619,0.9368932038834952,7.274985722444318,3502.0
2,nbm,2.2543873137705166,1.2085991250249934,0.8632410344053011,1.643917761279269,0.22101656196459166,0.6185037121644774,0.8997715591090806,7.175042832667048,3502.0
2,persistence,3.393593919912742,3.842169447541549,1.0246469365266229,5.53912050256996,0.0653912050256996,0.5913763563677898,0.9229011993146773,21.82181610508281,3502.0
2,residual_hist,2.5448389073298614,1.848469645766726,0.8935623543712573,2.454026270702456,0.17275842375785266,0.526556253569389,0.9091947458595089,12.0,3502.0
3,model,2.0528276659549016,1.0750774989437974,0.8357719960451061,1.509137635636779,0.2364363221016562,0.6696173615077099,0.9388920616790406,7.3049685893774985,3502.0
3,nbm,2.2674642752401115,1.2125000331498215,0.8645538592344404,1.6510565391205025,0.21958880639634495,0.6159337521416334,0.8989149057681325,7.205025699600228,3502.0
3,persistence,3.3821611510804144,3.824306403667166,1.0232839039724988,5.514563106796117,0.06396344945745289,0.5908052541404911,0.9114791547687036,21.33923472301542,3502.0
3,residual_hist,2.548347620993426,1.8518232077408305,0.8940823988752554,2.4588806396344944,0.1710451170759566,0.5271273557966876,0.9077669902912622,12.0,3502.0
4,model,2.0526420050085403,1.0728776949503769,0.8356897660631146,1.4960022844089091,0.23557966876070816,0.6661907481439178,0.9383209594517419,7.279840091376356,3502.0
4,nbm,2.2668280835178947,1.211933968257651,0.8647389045448356,1.6507709880068533,0.21901770416904626,0.6162193032552827,0.8986293546544831,7.198743575099943,3502.0
4,persistence,3.378989406635321,3.8177807071637324,1.0226280346373262,5.503712164477442,0.0633923472301542,0.5922330097087378,0.910908052541405,21.320388349514563,3502.0
4,residual_hist,2.5521019084298624,1.8617153786973855,0.8945697076218445,2.4714448886350655,0.17190177041690463,0.5248429468874929,0.9320388349514563,13.0,3502.0
5,model,2.0457523970781004,1.0669636742473787,0.8339272711328417,1.4888635065676756,0.23814962878355225,0.6650485436893204,0.9388920616790406,7.2752712735579665,3502.0
5,nbm,2.26643446607467,1.210748451711141,0.8653522383246691,1.6493432324386066,0.21844660194174756,0.614791547687036,0.8992004568817819,7.188749286122216,3502.0
5,persistence,3.368210910488684,3.805255388454457,1.0215403967556553,5.4917190177041695,0.06225014277555682,0.5919474585950886,0.9123358081096516,21.302684180468304,3502.0
5,residual_hist,2.556578223824805,1.8730491354472163,0.8953052042299897,2.4911479154768705,0.16990291262135923,0.520845231296402,0.9066247858366647,12.0,3502.0
6,model,2.0287804015476514,1.0572325788752617,0.8278161567744818,1.4788692175899485,0.24328954882924042,0.6681896059394632,0.9408909194745859,7.225014277555682,3502.0
6,nbm,2.2533244181573586,1.2029945652009608,0.8638396879749555,1.6402055968018274,0.21701884637350086,0.6179326099371788,0.9014848657909765,7.174757281553398,3502.0
6,persistence,3.335554956475579,3.7309285969550214,1.0148052657737439,5.3763563677898345,0.05768132495716733,0.5662478583666476,0.9223300970873787,21.49200456881782,3502.0
6,residual_hist,2.5627763703151625,1.894850905294654,0.8960558068731067,2.5328383780696746,0.163049685893775,0.5154197601370646,0.9323243860651057,13.0,3502.0
7,model,2.0131565500426727,1.047097343022591,0.8241491581383268,1.4648772130211307,0.250428326670474,0.6733295259851514,0.9440319817247287,7.22187321530554,3502.0
7,nbm,2.241818688224752,1.1919479379929037,0.8621910783448176,1.624785836664763,0.221302113078241,0.6190748143917761,0.9031981724728726,7.129354654483152,3502.0
7,persistence,3.289573693044711,3.621370775986142,1.0085588928019342,5.236721873215306,0.06367789834380354,0.5819531696173615,0.9266133637921188,20.7598515134209,3502.0
7,residual_hist,2.596378681929567,1.9735230770299848,0.9017478691555928,2.6716162193032553,0.153912050256996,0.5362649914334666,0.9340376927470018,13.0,3502.0
8,model,2.0075561156430113,1.040349346987477,0.8244869725080197,1.4563106796116505,0.25071387778412335,0.6787549971444888,0.9428897772701313,7.254140491147916,3502.0
8,nbm,2.237979258139572,1.1845248900689742,0.861847006320606,1.6130782410051399,0.22272986864648772,0.6193603655054255,0.9037692747001713,7.089091947458595,3502.0
8,persistence,3.1793232787346426,3.3186506335748636,0.9902127296516091,4.757852655625357,0.06424900057110222,0.6096516276413478,0.924328954882924,18.546830382638493,3502.0
8,residual_hist,2.6771256656498204,2.114050827306503,0.9140369705107168,3.039406053683609,0.09366076527698458,0.5502569960022844,0.9283266704740148,13.0,3502.0
9,model,2.0009329667100295,1.031263740376883,0.8236625827558038,1.441747572815534,0.2541404911479155,0.6833238149628783,0.9460308395202741,7.2181610508280984,3502.0
9,nbm,2.2354651716842056,1.1806799326854123,0.861913417739148,1.6102227298686465,0.22215876641918902,0.6199314677327241,0.9040548258138207,7.059965733866362,3502.0
9,persistence,3.0015989883929537,2.8217346194962665,0.9583508598134192,3.989149057681325,0.08566533409480297,0.5808109651627641,0.9186179326099372,16.150199885779557,3502.0
9,residual_hist,2.716677856256137,2.1306976829393913,0.9222729172114251,3.106225014277556,0.08709308966304968,0.6390633923472302,0.9294688749286122,13.0,3502.0
10,model,1.8767807650344503,0.9190478007059193,0.7977043486462888,1.2741290691033695,0.2912621359223301,0.7235865219874358,0.9703026841804683,7.349800114220446,3502.0
10,nbm,2.1485851518339847,1.1087791558315916,0.8490090442935745,1.520845231296402,0.24186179326099372,0.6362078812107367,0.9097658480868075,6.624785836664763,3502.0
10,persistence,2.693761035751516,2.20018541553602,0.9272937427756955,3.1442033123929183,0.10137064534551685,0.6207881210736722,0.96087949743004,15.0,3502.0
10,residual_hist,2.6937630201221716,2.2001896679413546,0.9272941219617484,3.1442033123929183,0.10137064534551685,0.6207881210736722,0.96087949743004,15.0,3502.0
11,model,1.807416782674858,0.8606130603180503,0.7883175409989123,1.211307824100514,0.2912621359223301,0.7327241576242147,0.9700171330668189,6.7775556824671614,3502.0
11,nbm,2.172550760517748,1.1127102983018873,0.8610796190761533,1.528269560251285,0.2324386065105654,0.6407766990291263,0.910908052541405,6.675613934894346,3502.0
11,persistence,2.4761400341994264,1.7428808206949327,0.9042557330639956,2.4720159908623645,0.12364363221016562,0.5953740719588806,0.9494574528840662,11.0,3502.0
11,residual_hist,2.476134839504317,1.7428811816964382,0.9042544890069097,2.4720159908623645,0.12364363221016562,0.5953740719588806,0.9494574528840662,11.0,3502.0
12,model,1.6439643820229046,0.7387642578873358,0.7492430680592852,1.0234151913192462,0.34408909194745857,0.7647058823529411,0.971730439748715,5.996573386636208,3502.0
12,nbm,2.1329833255479818,1.0715259963972865,0.861602717088721,1.4651627641347802,0.24186179326099372,0.663049685893775,0.9149057681324957,6.485436893203883,3502.0
12,persistence,2.161036840127258,1.2859126114534432,0.8648382360429268,1.8523700742432896,0.1901770416904626,0.6413478012564249,0.9523129640205596,8.0,3502.0
12,residual_hist,2.1610346212909195,1.2859130486760622,0.864837338590542,1.8523700742432896,0.1901770416904626,0.6413478012564249,0.9523129640205596,8.0,3502.0
13,model,1.3644759043166095,0.5708131130166826,0.6581966060201275,0.7841233580810966,0.4383209594517419,0.8072529982866933,0.9834380354083381,4.980868075385494,3502.0
13,nbm,2.0518889283541775,0.9999117452089855,0.8573746585990443,1.372644203312393,0.2609937178754997,0.6887492861222159,0.9214734437464306,6.154197601370646,3502.0
13,persistence,1.8127563794213617,0.9448159078671516,0.8027837899111927,1.3549400342661337,0.2578526556253569,0.8403769274700171,0.9565962307252999,6.0,3502.0
13,residual_hist,1.8127597573355756,0.9448162005191768,0.8027848907352053,1.3549400342661337,0.2578526556253569,0.8403769274700171,0.9565962307252999,6.0,3502.0
14,model,1.1699039630049857,0.44648479210737985,0.598088176776231,0.6107938320959452,0.5159908623643632,0.8346659051970303,0.9868646487721302,4.164762992575671,3502.0
14,nbm,1.9877784226852269,0.9497780956557492,0.8547924922177392,1.2989720159908624,0.2761279268989149,0.7053112507138778,0.9249000571102227,5.933466590519703,3502.0
14,persistence,1.4748295656611552,0.6385395788632495,0.7269260625214661,0.876070816676185,0.336950314106225,0.8732153055396916,0.950028555111365,4.0,3502.0
14,residual_hist,1.4748295656611552,0.6385395788632495,0.7269260625214661,0.876070816676185,0.336950314106225,0.8732153055396916,0.950028555111365,4.0,3502.0
15,model,1.0085535889313078,0.3637338554233907,0.5417426225491926,0.49828669331810393,0.5799543118218161,0.8446601941747572,0.9848657909765848,3.391776127926899,3502.0
15,nbm,1.9405545821963113,0.9186856443354304,0.8506407462775264,1.2555682467161622,0.2921187892632781,0.7150199885779555,0.9274700171330669,5.766133637921188,3502.0
15,persistence,1.1953381404784829,0.45542267627946154,0.6426249897634436,0.6581953169617362,0.4131924614505997,0.8238149628783552,0.9560251284980011,3.0,3502.0
15,residual_hist,1.1953381404784829,0.45542267627946154,0.6426249897634436,0.6581953169617362,0.4131924614505997,0.8238149628783552,0.9560251284980011,3.0,3502.0
16,model,0.8175758460175462,0.2911943572100266,0.44749117414014267,0.3997715591090805,0.6536264991433467,0.8829240434037693,0.9814391776127926,2.8149628783552254,3502.0
16,nbm,1.8803780258044203,0.8912927412184548,0.8442947044284641,1.2287264420331239,0.29497430039977157,0.7207310108509423,0.932609937178755,5.649343232438606,3502.0
16,persistence,1.0192368101985685,0.3746790208177727,0.5719256150095641,0.5893774985722444,0.5431182181610509,0.8992004568817819,0.9785836664762992,3.0,3502.0
16,residual_hist,1.0192368101985685,0.3746790208177727,0.5719256150095641,0.5893774985722444,0.5431182181610509,0.8992004568817819,0.9785836664762992,3.0,3502.0
17,model,0.6751495504597212,0.23746561331764063,0.3714845092652643,0.3238149628783552,0.7247287264420331,0.9154768703597944,0.9828669331810395,2.464877213021131,3502.0
17,nbm,1.8526146138083286,0.8811906872576314,0.8393176694375583,1.2241576242147345,0.2932609937178755,0.7230154197601371,0.9337521416333524,5.574528840662478,3502.0
17,persistence,0.8854575043633345,0.31685512478530453,0.5015381612318959,0.4488863506567676,0.6376356367789834,0.9368932038834952,0.9851513420902341,3.0,3502.0
17,residual_hist,0.8854575043633345,0.31685512478530453,0.5015381612318959,0.4488863506567676,0.6376356367789834,0.9368932038834952,0.9851513420902341,3.0,3502.0
18,model,0.37648604043993755,0.13259359851208313,0.19501551583192372,0.1776127926898915,0.8609366076527698,0.9494574528840662,0.9822958309537407,1.7101656196459167,3502.0
18,nbm,1.7934859480776935,0.8570253345686896,0.829319349381266,1.2101656196459165,0.288692175899486,0.7244431753283838,0.9371787549971445,5.427184466019417,3502.0
18,persistence,0.5635684110515903,0.18423398795922483,0.2760682797453137,0.20902341519131926,0.8412335808109651,0.8412335808109651,0.9674471730439749,2.0,3502.0
18,residual_hist,0.5635684110515903,0.18423398795922483,0.2760682797453137,0.20902341519131926,0.8412335808109651,0.8412335808109651,0.9674471730439749,2.0,3502.0
19,model,0.1387194223565613,0.05035264935290427,0.050793090544820195,0.05711022272986865,0.9705882352941176,0.9743003997715591,0.9868646487721302,1.1707595659623073,3502.0
19,nbm,1.7536107568063897,0.8389294036407664,0.82380331259797,1.194745859508852,0.2881210736721873,0.7255853797829811,0.9394631639063392,5.3389491719017705,3502.0
19,persistence,0.19460112857935183,0.06157609202328452,0.062135859100361034,0.06253569388920617,0.9683038263849228,0.9683038263849228,0.9683038263849228,1.0,3502.0
19,residual_hist,0.19460112857935183,0.06157609202328452,0.062135859100361034,0.06253569388920617,0.9683038263849228,0.9683038263849228,0.9683038263849228,1.0,3502.0
20,model,0.13440401853686612,0.0469227885719421,0.04927752145982326,0.05168475157053112,0.9723015419760137,0.9748715019988577,0.9871501998857796,1.1624785836664764,3502.0
20,nbm,1.7532173714228658,0.8385548784717786,0.8237979745847283,1.1941747572815533,0.2881210736721873,0.7255853797829811,0.9394631639063392,5.337806967447173,3502.0
20,persistence,0.1908478194277222,0.058187637097659235,0.06155720917485497,0.05910908052541405,0.9685893774985722,0.9685893774985722,0.9685893774985722,1.0,3502.0
20,residual_hist,0.1908478194277222,0.058187637097659235,0.06155720917485497,0.05910908052541405,0.9685893774985722,0.9685893774985722,0.9685893774985722,1.0,3502.0
21,model,0.12408976656159108,0.041588964604359374,0.045706202946277835,0.047401484865790974,0.9725870930896631,0.9785836664762992,0.9888635065676756,1.1701884637350086,3502.0
21,nbm,1.752120929158197,0.8378001047066023,0.8237868160833667,1.193032552826956,0.2881210736721873,0.7252998286693318,0.9394631639063392,5.335522558537979,3502.0
21,persistence,0.18034331976860107,0.05261954738055488,0.05825829312263858,0.05339805825242718,0.9703026841804683,0.9703026841804683,0.9703026841804683,1.0,3502.0
21,residual_hist,0.18034331976860107,0.05261954738055488,0.05825829312263858,0.05339805825242718,0.9703026841804683,0.9703026841804683,0.9703026841804683,1.0,3502.0
22,model,0.11435661636274516,0.037655260649865165,0.04164050496004802,0.04254711593375214,0.9748715019988577,0.981724728726442,0.9897201599086236,1.1644774414620218,3502.0
22,nbm,1.7514503571349507,0.837434170073989,0.8236080564806599,1.193032552826956,0.28754997144488864,0.7255853797829811,0.9394631639063392,5.33466590519703,3502.0
22,persistence,0.16658639339559803,0.04651547703904594,0.053833231424692554,0.04711593375214163,0.9725870930896631,0.9725870930896631,0.9725870930896631,1.0,3502.0
22,residual_hist,0.16658639339559803,0.04651547703904594,0.053833231424692554,0.04711593375214163,0.9725870930896631,0.9725870930896631,0.9725870930896631,1.0,3502.0
23,model,0.10574230586566134,0.035180220209676163,0.037813906999618827,0.03997715591090805,0.9762992575671046,0.9845802398629354,0.9905768132495717,1.1619074814391777,3502.0
23,nbm,1.7509526237820336,0.8374284720453556,0.8235094368144984,1.1933181039406053,0.2872644203312393,0.7252998286693318,0.9394631639063392,5.332095945174186,3502.0
23,persistence,0.14895870438439918,0.04069765965310582,0.04721900708525948,0.041119360365505425,0.9760137064534552,0.9760137064534552,0.9760137064534552,1.0,3502.0
23,residual_hist,0.14895870438439918,0.04069765965310582,0.04721900708525948,0.041119360365505425,0.9760137064534552,0.9760137064534552,0.9760137064534552,1.0,3502.0
